Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.808,0.5891472868217055,0.18673218673218672,0.2835820895522388,0.77475626628169
Random Forest,0.864,0.7824267782426778,0.4594594594594595,0.5789473684210527,0.8522181657774878
Gradient Boosting,0.87,0.7928286852589641,0.48894348894348894,0.6048632218844985,0.8708307691358538
