Feature,Importance
Age,0.38814318722768404
NumOfProducts,0.2998861016198998
IsActiveMember,0.11392230312157718
Balance,0.0891775489594419
Geography_0,0.05560352341457976
CreditScore,0.018675204813487462
EstimatedSalary,0.016523583571297955
Geography_2,0.013159528047532619
Tenure,0.0037593705272721814
HasCrCard,0.0006650723085967983
Geography_1,0.0004845763886304649
